04/07/2024 12:08:20, Voltage = 0.2072356, Wetness = 0, state = Dry, Temperature = 36.54279, Evaporation = 1.009302, Frequency = 30048
04/07/2024 12:08:57, Voltage = 0.1872155, Wetness = 0, state = Dry, Temperature = 36.72382, Evaporation = 1.015747, Frequency = 29560
04/07/2024 12:08:58, Voltage = 0.1872231, Wetness = 0, state = Dry, Temperature = 36.55688, Evaporation = 1.013632, Frequency = 0
04/07/2024 12:08:59, Voltage = 0.187634, Wetness = 0, state = Dry, Temperature = 36.6037, Evaporation = 1.090121, Frequency = 22192
04/07/2024 12:09:00, Voltage = 0.1868122, Wetness = 0, state = Dry, Temperature = 36.59015, Evaporation = 1.009755, Frequency = 29864
04/07/2024 12:09:01, Voltage = 0.1871596, Wetness = 0, state = Dry, Temperature = 36.77161, Evaporation = 1.006935, Frequency = 29832
04/07/2024 12:09:02, Voltage = 0.1868615, Wetness = 0, state = Dry, Temperature = 36.68463, Evaporation = 1.088359, Frequency = 29728
04/07/2024 12:09:03, Voltage = 0.1873439, Wetness = 0, state = Dry, Temperature = 37.19678, Evaporation = 1.068368, Frequency = 29664
04/07/2024 12:09:04, Voltage = 0.1861999, Wetness = 0, state = Dry, Temperature = 37.11676, Evaporation = 1.088258, Frequency = 29768
04/07/2024 12:09:05, Voltage = 0.1869904, Wetness = 0, state = Dry, Temperature = 36.86542, Evaporation = 1.011215, Frequency = 29848
04/07/2024 12:09:06, Voltage = 0.1874985, Wetness = 0, state = Dry, Temperature = 36.72937, Evaporation = 1.087251, Frequency = 29808
04/07/2024 12:09:08, Voltage = 0.1873681, Wetness = 0, state = Dry, Temperature = 36.79059, Evaporation = 1.088862, Frequency = 29744
04/07/2024 12:09:09, Voltage = 1.171181, Wetness = 41.46173, state = Wet, Temperature = 36.42322, Evaporation = 1.125672, Frequency = 28912
04/07/2024 12:09:10, Voltage = 0.1655665, Wetness = 0, state = Dry, Temperature = 36.73468, Evaporation = 1.007892, Frequency = 29216
04/07/2024 12:09:11, Voltage = 0.1669281, Wetness = 0, state = Dry, Temperature = 36.58453, Evaporation = 1.118068, Frequency = 29800
04/07/2024 12:09:12, Voltage = 0.1872714, Wetness = 0, state = Dry, Temperature = 36.6463, Evaporation = 1.090121, Frequency = 29680
04/07/2024 12:09:13, Voltage = 0.1687972, Wetness = 0, state = Dry, Temperature = 36.34521, Evaporation = 1.008144, Frequency = 29936
04/07/2024 12:09:14, Voltage = 0.1666461, Wetness = 0, state = Dry, Temperature = 36.54279, Evaporation = 1.009604, Frequency = 30008
04/07/2024 12:09:15, Voltage = 0.167492, Wetness = 0, state = Dry, Temperature = 36.3421, Evaporation = 1.06152, Frequency = 30040
04/07/2024 12:09:16, Voltage = 0.1676774, Wetness = 0, state = Dry, Temperature = 36.48431, Evaporation = 1.011064, Frequency = 30080
04/07/2024 12:09:17, Voltage = 0.1674115, Wetness = 0, state = Dry, Temperature = 35.98535, Evaporation = 1.083525, Frequency = 30128
04/07/2024 12:09:18, Voltage = 0.1662513, Wetness = 0, state = Dry, Temperature = 36.32751, Evaporation = 1.104472, Frequency = 30264
04/07/2024 12:09:19, Voltage = 0.1062365, Wetness = 0, state = Dry, Temperature = 36.40637, Evaporation = 1.089013, Frequency = 30384
04/07/2024 12:09:20, Voltage = 0.1882392, Wetness = 0, state = Dry, Temperature = 36.65417, Evaporation = 1.013884, Frequency = 30376
04/07/2024 12:09:22, Voltage = 0.1880217, Wetness = 0, state = Dry, Temperature = 37.03015, Evaporation = 1.079748, Frequency = 30200
04/07/2024 12:09:23, Voltage = 0.1664608, Wetness = 0, state = Dry, Temperature = 37.14136, Evaporation = 0.9110598, Frequency = 30248
04/07/2024 12:09:24, Voltage = 0.1669281, Wetness = 0, state = Dry, Temperature = 36.06641, Evaporation = 1.016251, Frequency = 30296
04/07/2024 12:09:25, Voltage = 0.1657276, Wetness = 0, state = Dry, Temperature = 36.61151, Evaporation = 1.089265, Frequency = 30344
04/07/2024 12:09:26, Voltage = 0.188063, Wetness = 0, state = Dry, Temperature = 36.35303, Evaporation = 1.079496, Frequency = 30432
04/07/2024 12:09:27, Voltage = 0.1668636, Wetness = 0, state = Dry, Temperature = 36.30298, Evaporation = 1.013028, Frequency = 30480
04/07/2024 12:09:28, Voltage = 0.1678627, Wetness = 0, state = Dry, Temperature = 36.49249, Evaporation = 1.088661, Frequency = 30328
04/07/2024 12:09:29, Voltage = 0.1670248, Wetness = 0, state = Dry, Temperature = 37.14703, Evaporation = 1.010561, Frequency = 30296
04/07/2024 12:09:30, Voltage = 0.1658404, Wetness = 0, state = Dry, Temperature = 36.34491, Evaporation = 0.982211, Frequency = 30168
04/07/2024 12:09:31, Voltage = 0.1670248, Wetness = 0, state = Dry, Temperature = 36.47321, Evaporation = 1.014438, Frequency = 30272
04/07/2024 12:09:32, Voltage = 0.1659049, Wetness = 0, state = Dry, Temperature = 37.47021, Evaporation = 1.013985, Frequency = 30288
04/07/2024 12:09:33, Voltage = 0.1661707, Wetness = 0, state = Dry, Temperature = 36.54016, Evaporation = 1.007489, Frequency = 30280
04/07/2024 12:09:34, Voltage = 0.1658565, Wetness = 0, state = Dry, Temperature = 36.49493, Evaporation = 1.034177, Frequency = 30288
04/07/2024 12:09:36, Voltage = 0.1675726, Wetness = 0, state = Dry, Temperature = 36.57343, Evaporation = 1.005827, Frequency = 30432
04/07/2024 12:09:37, Voltage = 0.1658888, Wetness = 0, state = Dry, Temperature = 36.69037, Evaporation = 1.031861, Frequency = 30512
04/07/2024 12:09:38, Voltage = 0.1668072, Wetness = 0, state = Dry, Temperature = 36.77667, Evaporation = 1.097121, Frequency = 30456
04/07/2024 12:09:39, Voltage = 0.1657921, Wetness = 0, state = Dry, Temperature = 36.93262, Evaporation = 1.09133, Frequency = 30496
04/07/2024 12:09:40, Voltage = 0.1673148, Wetness = 0, state = Dry, Temperature = 36.84387, Evaporation = 1.085942, Frequency = 30128
04/07/2024 12:09:41, Voltage = 0.1670167, Wetness = 0, state = Dry, Temperature = 36.27527, Evaporation = 1.088862, Frequency = 29976
04/07/2024 12:09:42, Voltage = 0.1660418, Wetness = 0, state = Dry, Temperature = 36.90741, Evaporation = 1.092941, Frequency = 29952
04/07/2024 12:09:43, Voltage = 0.1653489, Wetness = 0, state = Dry, Temperature = 37.30365, Evaporation = 1.091733, Frequency = 29976
04/07/2024 12:09:44, Voltage = 0.166783, Wetness = 0, state = Dry, Temperature = 37.28107, Evaporation = 1.114946, Frequency = 29944
04/07/2024 12:09:45, Voltage = 0.1652281, Wetness = 0, state = Dry, Temperature = 36.38129, Evaporation = 1.089819, Frequency = 29976
04/07/2024 12:09:46, Voltage = 0.1671859, Wetness = 0, state = Dry, Temperature = 36.61487, Evaporation = 1.006885, Frequency = 30128
04/07/2024 12:09:47, Voltage = 0.1663802, Wetness = 0, state = Dry, Temperature = 36.74884, Evaporation = 1.089165, Frequency = 30120
04/07/2024 12:09:48, Voltage = 0.1673068, Wetness = 0, state = Dry, Temperature = 36.93823, Evaporation = 1.015697, Frequency = 30064
04/07/2024 12:09:50, Voltage = 0.1669764, Wetness = 0, state = Dry, Temperature = 36.59534, Evaporation = 1.009956, Frequency = 30256
04/07/2024 12:09:51, Voltage = 0.1671134, Wetness = 0, state = Dry, Temperature = 36.84906, Evaporation = 1.012776, Frequency = 30432
04/07/2024 12:09:52, Voltage = 0.1663077, Wetness = 0, state = Dry, Temperature = 36.64319, Evaporation = 1.013582, Frequency = 30456
04/07/2024 12:09:53, Voltage = 0.1670167, Wetness = 0, state = Dry, Temperature = 36.27252, Evaporation = 1.015445, Frequency = 30368
04/07/2024 12:09:54, Voltage = 0.1673793, Wetness = 0, state = Dry, Temperature = 36.59863, Evaporation = 1.012927, Frequency = 30512
04/07/2024 12:09:55, Voltage = 0.1876506, Wetness = 0, state = Dry, Temperature = 36.65698, Evaporation = 0.9999359, Frequency = 30592
04/07/2024 12:09:56, Voltage = 0.1666703, Wetness = 0, state = Dry, Temperature = 36.8465, Evaporation = 1.014287, Frequency = 30648
04/07/2024 12:09:57, Voltage = 0.1666542, Wetness = 0, state = Dry, Temperature = 36.45367, Evaporation = 1.007338, Frequency = 30760
04/07/2024 12:09:58, Voltage = 0.1879809, Wetness = 0, state = Dry, Temperature = 36.58398, Evaporation = 1.016654, Frequency = 30696
04/07/2024 12:09:59, Voltage = 0.1882231, Wetness = 0, state = Dry, Temperature = 36.15015, Evaporation = 1.012374, Frequency = 30688
04/07/2024 12:10:00, Voltage = 0.1873036, Wetness = 0, state = Dry, Temperature = 35.97717, Evaporation = 1.006835, Frequency = 30696
04/07/2024 12:10:01, Voltage = 0.16663, Wetness = 0, state = Dry, Temperature = 36.67645, Evaporation = 1.010259, Frequency = 30608
04/07/2024 12:10:02, Voltage = 0.1878364, Wetness = 0, state = Dry, Temperature = 36.79761, Evaporation = 1.087704, Frequency = 30528
04/07/2024 12:10:04, Voltage = 0.1673793, Wetness = 0, state = Dry, Temperature = 36.79828, Evaporation = 1.088611, Frequency = 30496
04/07/2024 12:10:05, Voltage = 0.1680883, Wetness = 0, state = Dry, Temperature = 36.3562, Evaporation = 0.9182101, Frequency = 30392
04/07/2024 12:10:06, Voltage = 0.1885852, Wetness = 0, state = Dry, Temperature = 36.8902, Evaporation = 1.009755, Frequency = 30216
04/07/2024 12:10:07, Voltage = 0.1865624, Wetness = 0, state = Dry, Temperature = 36.07422, Evaporation = 1.008244, Frequency = 29984
04/07/2024 12:10:08, Voltage = 0.1875866, Wetness = 0, state = Dry, Temperature = 36.56781, Evaporation = 1.008144, Frequency = 29960
04/07/2024 12:10:09, Voltage = 0.1049393, Wetness = 0, state = Dry, Temperature = 36.51215, Evaporation = 1.088913, Frequency = 29920
04/07/2024 12:10:10, Voltage = 0.1878918, Wetness = 0, state = Dry, Temperature = 36.41138, Evaporation = 1.010661, Frequency = 29808
04/07/2024 12:10:11, Voltage = 0.1884407, Wetness = 0, state = Dry, Temperature = 36.25037, Evaporation = 1.00905, Frequency = 29672
04/07/2024 12:10:12, Voltage = 0.1872311, Wetness = 0, state = Dry, Temperature = 36.57324, Evaporation = 1.010359, Frequency = 29832
04/07/2024 12:10:13, Voltage = 0.1887946, Wetness = 0, state = Dry, Temperature = 36.40369, Evaporation = 1.089013, Frequency = 29904
04/07/2024 12:10:14, Voltage = 0.166066, Wetness = 0, state = Dry, Temperature = 36.74017, Evaporation = 1.010007, Frequency = 29920
04/07/2024 12:10:15, Voltage = 0.1653248, Wetness = 0, state = Dry, Temperature = 36.98547, Evaporation = 0.9874479, Frequency = 30096
04/07/2024 12:10:16, Voltage = 0.1666783, Wetness = 0, state = Dry, Temperature = 36.8717, Evaporation = 1.008698, Frequency = 30192
04/07/2024 12:10:18, Voltage = 0.1659371, Wetness = 0, state = Dry, Temperature = 36.61554, Evaporation = 1.01187, Frequency = 30296
04/07/2024 12:10:19, Voltage = 0.1667267, Wetness = 0, state = Dry, Temperature = 37.07745, Evaporation = 1.087704, Frequency = 30328
04/07/2024 12:10:20, Voltage = 0.1671214, Wetness = 0, state = Dry, Temperature = 36.47321, Evaporation = 1.086445, Frequency = 30256
04/07/2024 12:10:21, Voltage = 0.187497, Wetness = 0, state = Dry, Temperature = 36.04681, Evaporation = 1.098279, Frequency = 30328
04/07/2024 12:10:22, Voltage = 0.1855478, Wetness = 0, state = Dry, Temperature = 36.21661, Evaporation = 1.011769, Frequency = 30352
04/07/2024 12:10:23, Voltage = 0.166912, Wetness = 0, state = Dry, Temperature = 36.30261, Evaporation = 1.008496, Frequency = 30328
04/07/2024 12:10:24, Voltage = 0.1666139, Wetness = 0, state = Dry, Temperature = 36.19159, Evaporation = 1.013985, Frequency = 30488
04/07/2024 12:10:25, Voltage = 0.1674195, Wetness = 0, state = Dry, Temperature = 36.6568, Evaporation = 1.042435, Frequency = 30440
04/07/2024 12:10:26, Voltage = 0.1654859, Wetness = 0, state = Dry, Temperature = 36.65381, Evaporation = 1.000993, Frequency = 30488
04/07/2024 12:10:27, Voltage = 0.1658807, Wetness = 0, state = Dry, Temperature = 37.02399, Evaporation = 1.090272, Frequency = 30512
04/07/2024 12:10:28, Voltage = 0.1672826, Wetness = 0, state = Dry, Temperature = 36.5929, Evaporation = 0.9913253, Frequency = 30472
04/07/2024 12:10:29, Voltage = 0.1672342, Wetness = 0, state = Dry, Temperature = 36.91333, Evaporation = 1.088762, Frequency = 30320
04/07/2024 12:10:31, Voltage = 0.1669603, Wetness = 0, state = Dry, Temperature = 36.75098, Evaporation = 1.012273, Frequency = 30152
04/07/2024 12:10:32, Voltage = 0.1672987, Wetness = 0, state = Dry, Temperature = 36.58441, Evaporation = 0.9967636, Frequency = 30112
04/07/2024 12:10:33, Voltage = 0.167347, Wetness = 0, state = Dry, Temperature = 36.63745, Evaporation = 1.085942, Frequency = 30152
04/07/2024 12:10:34, Voltage = 0.1672181, Wetness = 0, state = Dry, Temperature = 35.77039, Evaporation = 0.9833188, Frequency = 30240
04/07/2024 12:10:35, Voltage = 0.1673148, Wetness = 0, state = Dry, Temperature = 36.60382, Evaporation = 1.080554, Frequency = 30288
04/07/2024 12:10:36, Voltage = 0.1670086, Wetness = 0, state = Dry, Temperature = 36.28119, Evaporation = 1.016402, Frequency = 30344
04/07/2024 12:10:37, Voltage = 0.166485, Wetness = 0, state = Dry, Temperature = 36.56451, Evaporation = 1.019876, Frequency = 30360
04/07/2024 12:10:38, Voltage = 0.1664286, Wetness = 0, state = Dry, Temperature = 36.88824, Evaporation = 1.068872, Frequency = 30288
04/07/2024 12:10:39, Voltage = 0.1666139, Wetness = 0, state = Dry, Temperature = 36.69556, Evaporation = 1.006381, Frequency = 30320
04/07/2024 12:10:40, Voltage = 0.1672826, Wetness = 0, state = Dry, Temperature = 36.89923, Evaporation = 1.0091, Frequency = 30408
04/07/2024 12:10:41, Voltage = 0.1680238, Wetness = 0, state = Dry, Temperature = 36.7464, Evaporation = 1.052355, Frequency = 30272
04/07/2024 12:10:42, Voltage = 0.1672342, Wetness = 0, state = Dry, Temperature = 37.13104, Evaporation = 1.007338, Frequency = 30384
04/07/2024 12:10:43, Voltage = 0.1681608, Wetness = 0, state = Dry, Temperature = 36.54602, Evaporation = 1.089668, Frequency = 30400
04/07/2024 12:10:45, Voltage = 0.1671859, Wetness = 0, state = Dry, Temperature = 36.54816, Evaporation = 1.000591, Frequency = 30440
04/07/2024 12:10:46, Voltage = 0.1659371, Wetness = 0, state = Dry, Temperature = 36.43976, Evaporation = 1.011971, Frequency = 30480
04/07/2024 12:10:47, Voltage = 0.1663238, Wetness = 0, state = Dry, Temperature = 36.87158, Evaporation = 1.011618, Frequency = 30608
04/07/2024 12:10:48, Voltage = 0.1657921, Wetness = 0, state = Dry, Temperature = 36.34735, Evaporation = 1.092639, Frequency = 30656
04/07/2024 12:10:49, Voltage = 0.1665897, Wetness = 0, state = Dry, Temperature = 36.90485, Evaporation = 1.089416, Frequency = 30640
04/07/2024 12:10:50, Voltage = 0.167065, Wetness = 0, state = Dry, Temperature = 36.81848, Evaporation = 1.007993, Frequency = 30528
04/07/2024 12:10:51, Voltage = 0.1665252, Wetness = 0, state = Dry, Temperature = 36.43713, Evaporation = 0.9970656, Frequency = 30400
04/07/2024 12:10:52, Voltage = 0.1670409, Wetness = 0, state = Dry, Temperature = 36.48389, Evaporation = 1.011971, Frequency = 30488
04/07/2024 12:10:53, Voltage = 0.1647447, Wetness = 0, state = Dry, Temperature = 36.67926, Evaporation = 1.01761, Frequency = 30528
04/07/2024 12:10:54, Voltage = 0.1650428, Wetness = 0, state = Dry, Temperature = 36.62872, Evaporation = 1.044601, Frequency = 30448
04/07/2024 12:10:55, Voltage = 0.1473663, Wetness = 0, state = Dry, Temperature = 36.55396, Evaporation = 1.012575, Frequency = 30448
04/07/2024 12:10:56, Voltage = 0.1462705, Wetness = 0, state = Dry, Temperature = 36.60107, Evaporation = 1.008043, Frequency = 30504
04/07/2024 12:10:57, Voltage = 0.1468506, Wetness = 0, state = Dry, Temperature = 36.79797, Evaporation = 1.007036, Frequency = 30592
04/07/2024 12:10:59, Voltage = 0.1460852, Wetness = 0, state = Dry, Temperature = 36.53076, Evaporation = 1.01187, Frequency = 30616
04/07/2024 12:11:00, Voltage = 0.1451507, Wetness = 0, state = Dry, Temperature = 35.90735, Evaporation = 1.091884, Frequency = 30624
04/07/2024 12:11:01, Voltage = 0.1470601, Wetness = 0, state = Dry, Temperature = 36.78748, Evaporation = 1.011568, Frequency = 30624
04/07/2024 12:11:02, Voltage = 0.1474791, Wetness = 0, state = Dry, Temperature = 36.69598, Evaporation = 1.087402, Frequency = 30632
04/07/2024 12:11:03, Voltage = 0.1441355, Wetness = 0, state = Dry, Temperature = 36.61652, Evaporation = 1.00905, Frequency = 30608
04/07/2024 12:11:04, Voltage = 0.1463269, Wetness = 0, state = Dry, Temperature = 36.67609, Evaporation = 1.011971, Frequency = 30648
04/07/2024 12:11:05, Voltage = 0.145207, Wetness = 0, state = Dry, Temperature = 36.60651, Evaporation = 1.090272, Frequency = 30624
04/07/2024 12:11:06, Voltage = 0.1464558, Wetness = 0, state = Dry, Temperature = 36.81879, Evaporation = 1.008698, Frequency = 30528
04/07/2024 12:11:07, Voltage = 0.1465767, Wetness = 0, state = Dry, Temperature = 37.31915, Evaporation = 1.092135, Frequency = 30464
04/07/2024 12:11:08, Voltage = 0.146045, Wetness = 0, state = Dry, Temperature = 36.64026, Evaporation = 1.006784, Frequency = 30312
04/07/2024 12:11:09, Voltage = 0.1466089, Wetness = 0, state = Dry, Temperature = 36.41101, Evaporation = 1.014237, Frequency = 30248
04/07/2024 12:11:10, Voltage = 0.1470198, Wetness = 0, state = Dry, Temperature = 36.78174, Evaporation = 0.7112017, Frequency = 30256
04/07/2024 12:11:11, Voltage = 0.1452876, Wetness = 0, state = Dry, Temperature = 36.66785, Evaporation = 1.088359, Frequency = 30272
04/07/2024 12:11:13, Voltage = 0.1468828, Wetness = 0, state = Dry, Temperature = 36.69299, Evaporation = 1.091481, Frequency = 30256
04/07/2024 12:11:14, Voltage = 0.1466814, Wetness = 0, state = Dry, Temperature = 36.35864, Evaporation = 1.011467, Frequency = 30304
04/07/2024 12:11:15, Voltage = 0.1449734, Wetness = 0, state = Dry, Temperature = 36.6759, Evaporation = 1.089718, Frequency = 30312
04/07/2024 12:11:16, Voltage = 0.1449251, Wetness = 0, state = Dry, Temperature = 36.31134, Evaporation = 1.016805, Frequency = 30360
04/07/2024 12:11:17, Voltage = 0.1462544, Wetness = 0, state = Dry, Temperature = 36.14453, Evaporation = 1.092689, Frequency = 30344
04/07/2024 12:11:18, Voltage = 0.1435312, Wetness = 0, state = Dry, Temperature = 36.45367, Evaporation = 1.006532, Frequency = 30328
04/07/2024 12:11:19, Voltage = 0.1464397, Wetness = 0, state = Dry, Temperature = 36.74554, Evaporation = 1.00759, Frequency = 30280
04/07/2024 12:11:20, Voltage = 0.1452393, Wetness = 0, state = Dry, Temperature = 36.72382, Evaporation = 1.012575, Frequency = 30032
04/07/2024 12:11:21, Voltage = 0.1462464, Wetness = 0, state = Dry, Temperature = 36.37292, Evaporation = 1.089668, Frequency = 30144
04/07/2024 12:11:22, Voltage = 0.1466814, Wetness = 0, state = Dry, Temperature = 36.62299, Evaporation = 1.086748, Frequency = 30320
04/07/2024 12:11:23, Voltage = 0.1445303, Wetness = 0, state = Dry, Temperature = 36.41223, Evaporation = 1.090373, Frequency = 30352
04/07/2024 12:11:24, Voltage = 0.1460288, Wetness = 0, state = Dry, Temperature = 36.53912, Evaporation = 1.090675, Frequency = 30544
04/07/2024 12:11:25, Voltage = 0.1458032, Wetness = 0, state = Dry, Temperature = 36.51166, Evaporation = 1.099538, Frequency = 30312
04/07/2024 12:11:27, Voltage = 0.1471729, Wetness = 0, state = Dry, Temperature = 36.2749, Evaporation = 0.8166949, Frequency = 30304
04/07/2024 12:11:28, Voltage = 0.1455454, Wetness = 0, state = Dry, Temperature = 36.28027, Evaporation = 1.013783, Frequency = 30384
04/07/2024 12:11:29, Voltage = 0.1464881, Wetness = 0, state = Dry, Temperature = 36.79358, Evaporation = 1.090877, Frequency = 30624
04/07/2024 12:11:30, Voltage = 0.1258789, Wetness = 0, state = Dry, Temperature = 37.02191, Evaporation = 1.009856, Frequency = 30592
04/07/2024 12:11:31, Voltage = 0.1258628, Wetness = 0, state = Dry, Temperature = 36.8515, Evaporation = 1.089416, Frequency = 30728
04/07/2024 12:11:32, Voltage = 0.1465445, Wetness = 0, state = Dry, Temperature = 36.20544, Evaporation = 1.009755, Frequency = 30824
04/07/2024 12:11:33, Voltage = 0.1464639, Wetness = 0, state = Dry, Temperature = 36.49005, Evaporation = 1.086496, Frequency = 30776
04/07/2024 12:11:34, Voltage = 0.1471809, Wetness = 0, state = Dry, Temperature = 36.45892, Evaporation = 1.089416, Frequency = 31000
04/07/2024 12:11:35, Voltage = 0.1252585, Wetness = 0, state = Dry, Temperature = 36.57635, Evaporation = 1.01333, Frequency = 30936
04/07/2024 12:11:36, Voltage = 0.1469715, Wetness = 0, state = Dry, Temperature = 36.26367, Evaporation = 1.012021, Frequency = 30880
04/07/2024 12:11:37, Voltage = 0.1448687, Wetness = 0, state = Dry, Temperature = 36.61725, Evaporation = 1.011568, Frequency = 30752
04/07/2024 12:11:38, Voltage = 0.1273452, Wetness = 0, state = Dry, Temperature = 36.1778, Evaporation = 1.112529, Frequency = 30728
04/07/2024 12:11:39, Voltage = 0.1474066, Wetness = 0, state = Dry, Temperature = 36.55426, Evaporation = 1.014791, Frequency = 30736
04/07/2024 12:11:41, Voltage = 0.1439905, Wetness = 0, state = Dry, Temperature = 36.80731, Evaporation = 1.029696, Frequency = 30712
04/07/2024 12:11:42, Voltage = 0.1452393, Wetness = 0, state = Dry, Temperature = 36.72119, Evaporation = 1.080201, Frequency = 30760
04/07/2024 12:11:43, Voltage = 0.1254358, Wetness = 0, state = Dry, Temperature = 36.64355, Evaporation = 1.030652, Frequency = 30608
04/07/2024 12:11:44, Voltage = 0.1457227, Wetness = 0, state = Dry, Temperature = 36.87695, Evaporation = 1.084079, Frequency = 30432
04/07/2024 12:11:45, Voltage = 0.1465847, Wetness = 0, state = Dry, Temperature = 36.5929, Evaporation = 1.01051, Frequency = 30336
04/07/2024 12:11:46, Voltage = 0.1258305, Wetness = 0, state = Dry, Temperature = 36.75769, Evaporation = 1.006835, Frequency = 30600
04/07/2024 12:11:47, Voltage = 0.1266523, Wetness = 0, state = Dry, Temperature = 36.4176, Evaporation = 1.087453, Frequency = 30592
04/07/2024 12:11:48, Voltage = 0.1465928, Wetness = 0, state = Dry, Temperature = 36.52643, Evaporation = 1.033321, Frequency = 30536
04/07/2024 12:11:49, Voltage = 0.1454246, Wetness = 0, state = Dry, Temperature = 36.32867, Evaporation = 1.009856, Frequency = 30440
04/07/2024 12:11:50, Voltage = 0.1263623, Wetness = 0, state = Dry, Temperature = 36.17188, Evaporation = 1.005576, Frequency = 30608
